[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[snapkv b256] 10/50 acc=4/10 evict=0 kv=283 (7.3s)
[snapkv b256] 11/50 acc=5/11 evict=1 kv=283 (10.4s)
[snapkv b256] 12/50 acc=6/12 evict=4 kv=276 (17.6s)
[snapkv b256] 13/50 acc=6/13 evict=5 kv=259 (20.4s)
[snapkv b256] 14/50 acc=6/14 evict=6 kv=263 (23.1s)
[snapkv b256] 15/50 acc=6/15 evict=0 kv=274 (7.2s)
[snapkv b256] 16/50 acc=6/16 evict=6 kv=284 (22.0s)
[snapkv b256] 17/50 acc=6/17 evict=3 kv=258 (14.9s)
[snapkv b256] 18/50 acc=7/18 evict=4 kv=260 (16.8s)
[snapkv b256] 19/50 acc=7/19 evict=2 kv=285 (13.9s)
[snapkv b256] 20/50 acc=7/20 evict=0 kv=262 (6.4s)
[snapkv b256] 21/50 acc=7/21 evict=6 kv=284 (23.6s)
[snapkv b256] 22/50 acc=7/22 evict=0 kv=201 (4.9s)
[snapkv b256] 23/50 acc=8/23 evict=0 kv=257 (6.6s)
[snapkv b256] 24/50 acc=8/24 evict=0 kv=232 (6.2s)
[snapkv b256] 25/50 acc=8/25 evict=0 kv=240 (6.5s)
[snapkv b256] 26/50 acc=9/26 evict=1 kv=268 (8.9s)
[snapkv b256] 27/50 acc=9/27 evict=2 kv=279 (11.7s)
[snapkv b256] 28/50 acc=9/28 evict=0 kv=245 (6.2s)
[snapkv b256] 29/50 acc=9/29 evict=0 kv=251 (6.5s)
[snapkv b256] 30/50 acc=9/30 evict=0 kv=249 (5.8s)
[snapkv b256] 31/50 acc=10/31 evict=5 kv=270 (20.1s)
[snapkv b256] 32/50 acc=11/32 evict=1 kv=281 (10.1s)
[snapkv b256] 33/50 acc=11/33 evict=0 kv=274 (7.8s)
[snapkv b256] 34/50 acc=12/34 evict=2 kv=274 (13.0s)
[snapkv b256] 35/50 acc=13/35 evict=0 kv=209 (5.3s)
[snapkv b256] 36/50 acc=14/36 evict=4 kv=264 (17.5s)
[snapkv b256] 37/50 acc=14/37 evict=0 kv=184 (4.3s)
[snapkv b256] 38/50 acc=14/38 evict=3 kv=267 (14.2s)
[snapkv b256] 39/50 acc=14/39 evict=5 kv=268 (21.4s)
[snapkv b256] 40/50 acc=14/40 evict=15 kv=257 (47.1s)
[snapkv b256] 41/50 acc=15/41 evict=0 kv=175 (3.8s)
[snapkv b256] 42/50 acc=16/42 evict=0 kv=275 (4.6s)
[snapkv b256] 43/50 acc=17/43 evict=0 kv=282 (6.6s)
[snapkv b256] 44/50 acc=17/44 evict=1 kv=280 (10.0s)
[snapkv b256] 45/50 acc=17/45 evict=3 kv=287 (15.1s)
[snapkv b256] 46/50 acc=18/46 evict=4 kv=265 (15.7s)
[snapkv b256] 47/50 acc=18/47 evict=2 kv=261 (9.9s)
[snapkv b256] 48/50 acc=18/48 evict=3 kv=263 (15.1s)
[snapkv b256] 49/50 acc=19/49 evict=0 kv=164 (4.1s)
[snapkv b256] 50/50 acc=20/50 evict=0 kv=261 (7.1s)
SUMMARY {"arm": "snapkv", "budget": 256, "buffer": 32, "mix_lambda": 0.1, "n": 50, "accuracy": 0.4, "mean_evictions": 2.5, "wall_total_s": 658.7}
