[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[rkv b128] 10/50 acc=3/10 evict=5 kv=159 (37.7s)
[rkv b128] 11/50 acc=4/11 evict=7 kv=139 (51.1s)
[rkv b128] 12/50 acc=4/12 evict=4 kv=145 (30.4s)
[rkv b128] 13/50 acc=4/13 evict=10 kv=148 (71.8s)
[rkv b128] 14/50 acc=4/14 evict=9 kv=133 (64.1s)
[rkv b128] 15/50 acc=5/15 evict=4 kv=154 (27.9s)
[rkv b128] 16/50 acc=5/16 evict=10 kv=157 (72.5s)
[rkv b128] 17/50 acc=5/17 evict=9 kv=148 (67.9s)
[rkv b128] 18/50 acc=5/18 evict=8 kv=131 (56.0s)
[rkv b128] 19/50 acc=5/19 evict=6 kv=157 (45.7s)
[rkv b128] 20/50 acc=5/20 evict=4 kv=129 (28.6s)
[rkv b128] 21/50 acc=5/21 evict=14 kv=153 (92.9s)
[rkv b128] 22/50 acc=5/22 evict=5 kv=147 (33.7s)
[rkv b128] 23/50 acc=6/23 evict=4 kv=145 (29.5s)
[rkv b128] 24/50 acc=6/24 evict=3 kv=137 (21.2s)
[rkv b128] 25/50 acc=6/25 evict=4 kv=143 (30.2s)
[rkv b128] 26/50 acc=6/26 evict=9 kv=144 (69.0s)
[rkv b128] 27/50 acc=6/27 evict=4 kv=138 (26.4s)
[rkv b128] 28/50 acc=6/28 evict=3 kv=156 (22.3s)
[rkv b128] 29/50 acc=6/29 evict=2 kv=156 (17.3s)
[rkv b128] 30/50 acc=6/30 evict=7 kv=159 (46.8s)
[rkv b128] 31/50 acc=6/31 evict=8 kv=138 (50.3s)
[rkv b128] 32/50 acc=6/32 evict=5 kv=155 (32.6s)
[rkv b128] 33/50 acc=6/33 evict=2 kv=157 (15.0s)
[rkv b128] 34/50 acc=6/34 evict=6 kv=151 (39.2s)
[rkv b128] 35/50 acc=7/35 evict=2 kv=145 (14.8s)
[rkv b128] 36/50 acc=7/36 evict=7 kv=153 (44.8s)
[rkv b128] 37/50 acc=7/37 evict=1 kv=152 (9.0s)
[rkv b128] 38/50 acc=7/38 evict=6 kv=146 (38.4s)
[rkv b128] 39/50 acc=7/39 evict=6 kv=158 (39.1s)
[rkv b128] 40/50 acc=7/40 evict=11 kv=148 (67.9s)
[rkv b128] 41/50 acc=8/41 evict=1 kv=143 (8.5s)
[rkv b128] 42/50 acc=8/42 evict=5 kv=136 (29.7s)
[rkv b128] 43/50 acc=9/43 evict=4 kv=131 (25.0s)
[rkv b128] 44/50 acc=9/44 evict=5 kv=136 (31.9s)
[rkv b128] 45/50 acc=9/45 evict=9 kv=139 (55.7s)
[rkv b128] 46/50 acc=9/46 evict=11 kv=154 (67.7s)
[rkv b128] 47/50 acc=9/47 evict=7 kv=144 (43.0s)
[rkv b128] 48/50 acc=9/48 evict=7 kv=130 (44.1s)
[rkv b128] 49/50 acc=10/49 evict=1 kv=132 (8.3s)
[rkv b128] 50/50 acc=11/50 evict=6 kv=150 (38.9s)
SUMMARY {"arm": "rkv", "budget": 128, "buffer": 32, "mix_lambda": 0.1, "n": 50, "accuracy": 0.22, "mean_evictions": 6.1, "wall_total_s": 2113.7}
