[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[random b256] 19/50 acc=7/19 evict=3 kv=259 (9.1s)
[random b256] 20/50 acc=7/20 evict=0 kv=262 (5.3s)
[random b256] 21/50 acc=7/21 evict=5 kv=261 (11.7s)
[random b256] 22/50 acc=7/22 evict=0 kv=201 (4.3s)
[random b256] 23/50 acc=8/23 evict=0 kv=257 (5.3s)
[random b256] 24/50 acc=8/24 evict=0 kv=232 (5.7s)
[random b256] 25/50 acc=8/25 evict=0 kv=240 (6.2s)
[random b256] 26/50 acc=9/26 evict=1 kv=268 (7.4s)
[random b256] 27/50 acc=9/27 evict=2 kv=282 (9.0s)
[random b256] 28/50 acc=9/28 evict=0 kv=245 (5.8s)
[random b256] 29/50 acc=9/29 evict=0 kv=251 (6.3s)
[random b256] 30/50 acc=9/30 evict=0 kv=249 (5.8s)
[random b256] 31/50 acc=10/31 evict=6 kv=257 (13.4s)
[random b256] 32/50 acc=11/32 evict=1 kv=281 (7.2s)
[random b256] 33/50 acc=11/33 evict=0 kv=274 (7.2s)
[random b256] 34/50 acc=11/34 evict=2 kv=287 (10.4s)
[random b256] 35/50 acc=12/35 evict=0 kv=209 (5.2s)
[random b256] 36/50 acc=13/36 evict=4 kv=266 (11.0s)
[random b256] 37/50 acc=13/37 evict=0 kv=184 (4.3s)
[random b256] 38/50 acc=14/38 evict=2 kv=271 (8.8s)
[random b256] 39/50 acc=15/39 evict=4 kv=260 (11.2s)
[random b256] 40/50 acc=15/40 evict=15 kv=257 (22.5s)
[random b256] 41/50 acc=16/41 evict=0 kv=175 (3.7s)
[random b256] 42/50 acc=17/42 evict=0 kv=275 (4.3s)
[random b256] 43/50 acc=18/43 evict=0 kv=282 (6.3s)
[random b256] 44/50 acc=18/44 evict=1 kv=275 (7.6s)
[random b256] 45/50 acc=18/45 evict=3 kv=266 (8.5s)
[random b256] 46/50 acc=19/46 evict=4 kv=284 (9.4s)
[random b256] 47/50 acc=19/47 evict=3 kv=275 (8.6s)
[random b256] 48/50 acc=19/48 evict=3 kv=268 (10.3s)
[random b256] 49/50 acc=20/49 evict=0 kv=164 (3.8s)
[random b256] 50/50 acc=21/50 evict=0 kv=261 (6.8s)
SUMMARY {"arm": "random", "budget": 256, "buffer": 32, "mix_lambda": 0.1, "n": 50, "accuracy": 0.42, "mean_evictions": 2.76, "wall_total_s": 450.3}
